nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
max aarons,bournemouth,DF,2000,20,13,1237,0,1,1,0,22,43,26,2023-2024,premier-league
joshua acheampong,chelsea,DF,2006,1,0,6,0,0,0,0,0,0,0,2023-2024,premier-league
tyler adams,bournemouth,MF,1999,3,1,121,0,0,0,0,4,5,1,2023-2024,premier-league
tosin adarabioyo,fulham,DF,1997,20,18,1617,2,0,2,0,10,62,5,2023-2024,premier-league
elijah adebayo,luton town,FW,1998,27,16,1419,10,0,1,0,16,23,110,2023-2024,premier-league
simon adingra,brighton,FW,2002,31,25,2222,6,1,3,0,111,50,278,2023-2024,premier-league
nayef aguerd,west ham,DF,1996,21,21,1857,1,0,3,1,10,68,3,2023-2024,premier-league
brandon aguilera,nottham forest,FW,2003,1,0,5,0,0,0,0,0,0,1,2023-2024,premier-league
naouirou ahamada,crystal palace,"MF,FW",2002,20,0,349,0,0,4,1,19,25,20,2023-2024,premier-league
anel ahmedhodzic,sheffield utd,DF,1999,31,29,2649,2,0,11,1,15,43,21,2023-2024,premier-league
ola aina,nottham forest,DF,1996,22,20,1692,1,1,3,0,52,69,37,2023-2024,premier-league
rayan aitnouri,wolves,"DF,MF",2001,33,29,2329,2,1,7,0,67,99,99,2023-2024,premier-league
kristoffer ajer,brentford,DF,1998,28,21,1832,2,1,5,0,22,61,31,2023-2024,premier-league
manuel akanji,manchester city,"DF,MF",1995,30,28,2511,2,0,4,1,46,148,36,2023-2024,premier-league
nathan ake,manchester city,DF,1995,29,24,2042,2,2,0,0,24,116,18,2023-2024,premier-league
thiago alcantara,liverpool,MF,1991,1,0,6,0,0,0,0,0,0,0,2023-2024,premier-league
trent alexanderarnold,liverpool,DF,1998,28,25,2155,3,4,6,0,45,205,97,2023-2024,premier-league
alisson,liverpool,GK,1992,28,28,2520,0,0,1,0,0,5,0,2023-2024,premier-league
miguel almiron,newcastle utd,FW,1994,33,23,1937,3,1,2,0,78,78,162,2023-2024,premier-league
edson alvarez,west ham,MF,1997,31,28,2377,1,1,11,0,20,91,26,2023-2024,premier-league
julian alvarez,manchester city,"MF,FW",2000,36,31,2647,11,8,2,0,64,103,180,2023-2024,premier-league
zeki amdouni,burnley,FW,2000,34,27,1953,5,1,2,0,63,49,93,2023-2024,premier-league
sofyan amrabat,manchester utd,"MF,DF",1996,21,10,938,0,0,6,0,6,66,10,2023-2024,premier-league
joachim andersen,crystal palace,DF,1996,38,38,3415,2,3,7,0,21,147,10,2023-2024,premier-league
elliot anderson,newcastle utd,"MF,FW",2002,21,10,1027,0,2,3,0,37,57,70,2023-2024,premier-league
jaidon anthony,bournemouth,FW,1999,3,2,152,0,0,1,0,2,8,9,2023-2024,premier-league
michail antonio,west ham,FW,1990,26,21,1695,6,2,6,0,48,22,104,2023-2024,premier-league
antony,manchester utd,FW,2000,29,15,1324,1,1,5,0,53,64,149,2023-2024,premier-league
oliver arblaster,sheffield utd,MF,2004,12,11,943,0,0,2,0,14,43,4,2023-2024,premier-league
cameron archer,sheffield utd,"FW,MF",2001,29,21,1832,4,1,1,0,33,15,114,2023-2024,premier-league
cameron archer,aston villa,MF,2001,1,0,6,0,0,1,0,1,0,0,2023-2024,premier-league
alphonse areola,west ham,GK,1993,31,31,2699,0,0,1,0,0,1,0,2023-2024,premier-league
lorenz assignon,burnley,DF,2000,15,15,1234,1,2,5,1,38,34,57,2023-2024,premier-league
serge aurier,nottham forest,"DF,MF",1992,12,10,833,0,2,2,0,10,47,29,2023-2024,premier-league
taiwo awoniyi,nottham forest,FW,1997,20,12,1042,6,3,2,0,8,14,45,2023-2024,premier-league
jordan ayew,crystal palace,"FW,MF",1991,35,30,2543,4,7,9,1,74,63,173,2023-2024,premier-league
benoit badiashile,chelsea,DF,2001,18,15,1338,0,1,3,0,3,46,3,2023-2024,premier-league
leon bailey,aston villa,"MF,FW",1997,35,22,2068,10,9,5,0,102,82,226,2023-2024,premier-league
stefan bajcetic,liverpool,MF,2004,1,0,26,0,0,0,0,0,1,0,2023-2024,premier-league
george baldock,sheffield utd,DF,1993,13,11,969,0,1,4,0,9,31,24,2023-2024,premier-league
carlos baleba,brighton,MF,2004,27,15,1325,0,0,7,0,19,50,9,2023-2024,premier-league
fode ballotoure,fulham,"DF,MF",1997,6,0,71,0,0,1,0,5,0,4,2023-2024,premier-league
shandon baptiste,brentford,MF,1998,10,2,229,1,1,1,0,3,5,1,2023-2024,premier-league
valentin barco,brighton,"DF,FW",2004,6,3,307,0,0,1,0,8,14,20,2023-2024,premier-league
ross barkley,luton town,MF,1993,32,30,2618,5,4,6,0,48,163,39,2023-2024,premier-league
harvey barnes,newcastle utd,"FW,MF",1997,21,7,802,5,3,2,0,45,34,79,2023-2024,premier-league
chris basham,sheffield utd,"DF,MF",1988,8,3,321,0,0,1,0,1,7,6,2023-2024,premier-league
calvin bassey,fulham,DF,1999,29,25,2303,1,0,6,1,15,62,4,2023-2024,premier-league
owen beck,liverpool,DF,2002,1,0,8,0,0,0,0,0,0,1,2023-2024,premier-league
donny van de beek,manchester utd,DF,1997,1,0,3,0,0,0,0,0,0,1,2023-2024,premier-league
amarii bell,luton town,DF,1994,21,21,1720,0,0,0,0,32,76,10,2023-2024,premier-league
jeanricner bellegarde,wolves,"MF,FW",1998,22,10,958,2,1,0,1,30,39,49,2023-2024,premier-league
anis ben slimane,sheffield utd,MF,2001,15,4,419,0,0,2,0,3,12,21,2023-2024,premier-league
said benrahma,west ham,"FW,MF",1995,13,5,620,0,1,1,0,28,28,70,2023-2024,premier-league
rodrigo bentancur,tottenham,MF,1997,23,13,1005,1,1,7,0,16,72,31,2023-2024,premier-league
daniel bentley,wolves,GK,1993,5,3,383,0,0,0,0,0,0,0,2023-2024,premier-league
johann berg gumundsson,burnley,"MF,FW",1990,26,12,1192,1,3,2,0,13,59,69,2023-2024,premier-league
sander berge,burnley,MF,1998,37,34,3005,1,2,10,1,64,164,29,2023-2024,premier-league
luke berry,luton town,"MF,DF",1992,17,2,323,2,1,1,0,1,8,7,2023-2024,premier-league
beto,everton,FW,1998,30,9,951,3,0,2,0,14,14,58,2023-2024,premier-league
jordan beyer,burnley,DF,2000,15,15,1234,0,1,6,0,9,25,1,2023-2024,premier-league
philip billing,bournemouth,MF,1996,29,13,1398,2,2,3,1,22,53,63,2023-2024,premier-league
yves bissouma,tottenham,MF,1996,28,26,2068,0,0,10,2,43,169,13,2023-2024,premier-league
benicio boaitey,brighton,"FW,DF",2004,5,0,40,0,0,1,0,1,2,2,2023-2024,premier-league
oscar bobb,manchester city,"FW,MF",2003,14,2,302,1,1,0,0,13,25,38,2023-2024,premier-league
jayden bogle,sheffield utd,DF,2000,34,32,2788,3,0,9,0,38,60,92,2023-2024,premier-league
willy boly,nottham forest,DF,1991,20,18,1438,2,1,3,1,4,32,3,2023-2024,premier-league
sven botman,newcastle utd,DF,2000,17,15,1377,2,2,2,0,0,35,5,2023-2024,premier-league
jarrod bowen,west ham,FW,1996,34,34,3019,16,6,2,0,90,52,186,2023-2024,premier-league
conor bradley,liverpool,DF,2003,11,10,753,1,3,2,0,35,29,64,2023-2024,premier-league
jarrad branthwaite,everton,DF,2002,35,35,3116,3,0,8,0,2,74,6,2023-2024,premier-league
ben brereton,sheffield utd,"FW,MF",1999,14,14,1105,6,1,3,0,23,37,78,2023-2024,premier-league
rhian brewster,sheffield utd,"FW,MF",2000,13,3,346,0,0,0,1,1,3,21,2023-2024,premier-league
armando broja,chelsea,FW,2001,13,6,454,1,0,0,0,11,6,37,2023-2024,premier-league
armando broja,fulham,FW,2001,8,0,88,0,1,0,0,2,2,7,2023-2024,premier-league
andre brooks,sheffield utd,"MF,DF",2003,20,12,938,0,0,1,0,12,18,22,2023-2024,premier-league
david brooks,bournemouth,"FW,MF",1997,13,2,282,1,1,1,0,8,21,27,2023-2024,premier-league
jacob brown,luton town,"MF,FW",1998,19,12,1019,2,0,4,0,25,19,53,2023-2024,premier-league
josh brownhill,burnley,MF,1995,33,23,2252,4,2,4,1,19,90,36,2023-2024,premier-league
jacob bruun larsen,burnley,"MF,FW",1998,32,16,1249,6,0,1,0,61,38,146,2023-2024,premier-league
hugo bueno,wolves,"DF,MF",2002,22,7,741,0,0,1,0,22,8,40,2023-2024,premier-league
santiago bueno,wolves,DF,1998,12,9,822,0,0,1,0,3,11,2,2023-2024,premier-league
facundo buonanotte,brighton,"FW,MF",2004,27,17,1364,3,1,7,0,23,42,69,2023-2024,premier-league
reece burke,luton town,DF,1996,22,20,1660,0,4,5,0,11,67,14,2023-2024,premier-league
dan burn,newcastle utd,DF,1992,33,32,2726,2,2,4,0,14,75,25,2023-2024,premier-league
mason burstow,chelsea,FW,2003,2,0,9,0,0,0,0,0,0,1,2023-2024,premier-league
moises caicedo,chelsea,MF,2001,35,33,2866,1,3,11,0,27,173,27,2023-2024,premier-league
tom cairney,fulham,MF,1991,34,14,1488,1,4,3,0,35,145,72,2023-2024,premier-league
dominic calvertlewin,everton,FW,1997,32,26,2171,7,2,2,0,36,31,122,2023-2024,premier-league
thomas cannon,everton,FW,2002,1,0,1,0,0,0,0,0,0,0,2023-2024,premier-league
diego carlos,aston villa,DF,1993,27,20,1816,0,0,4,0,4,59,1,2023-2024,premier-league
cesare casadei,chelsea,"FW,MF",2003,11,0,79,0,0,0,0,1,3,3,2023-2024,premier-league
casemiro,manchester utd,"MF,DF",1992,25,24,1982,1,2,7,0,12,112,36,2023-2024,premier-league
kaelan casey,west ham,DF,2004,1,0,1,0,0,0,0,0,0,0,2023-2024,premier-league
matty cash,aston villa,DF,1997,29,23,2142,2,2,8,0,62,88,101,2023-2024,premier-league
timothy castagne,fulham,DF,1995,34,29,2634,1,3,3,0,48,77,113,2023-2024,premier-league
jonny castro,wolves,MF,1994,1,0,5,0,0,0,0,0,0,0,2023-2024,premier-league
trevoh chalobah,chelsea,DF,1999,13,10,952,1,0,1,0,5,31,9,2023-2024,premier-league
calum chambers,aston villa,"MF,DF",1995,5,1,152,0,1,1,0,0,5,1,2023-2024,premier-league
youssef chermiti,everton,FW,2004,18,1,208,0,0,3,0,5,5,15,2023-2024,premier-league
ben chilwell,chelsea,DF,1996,13,9,756,0,1,5,0,22,25,59,2023-2024,premier-league
tawanda chirewa,wolves,"MF,FW",2003,8,1,145,0,0,1,0,1,7,8,2023-2024,premier-league
leon chiwome,wolves,FW,2006,3,2,174,0,0,0,0,1,2,7,2023-2024,premier-league
tahith chong,luton town,"MF,FW",1999,33,20,1982,4,0,4,0,57,72,101,2023-2024,premier-league
ryan christie,bournemouth,MF,1995,37,35,2907,0,5,6,0,60,167,78,2023-2024,premier-league
carney chukwuemeka,chelsea,"MF,FW",2003,9,2,227,1,1,2,0,4,12,19,2023-2024,premier-league
bobby clark,liverpool,MF,2005,5,1,89,0,0,0,0,3,3,7,2023-2024,premier-league
jordan clark,luton town,MF,1993,23,14,1304,1,1,4,0,21,51,39,2023-2024,premier-league
nathaniel clyne,crystal palace,DF,1991,19,14,1338,0,0,0,0,10,33,18,2023-2024,premier-league
seamus coleman,everton,DF,1988,12,7,665,0,0,0,0,5,22,16,2023-2024,premier-league
nathan collins,brentford,DF,2001,32,29,2652,1,1,3,0,11,97,18,2023-2024,premier-league
levi colwill,chelsea,DF,2003,23,20,1797,1,1,2,0,23,73,27,2023-2024,premier-league
lewis cook,bournemouth,MF,1997,33,32,2786,0,3,5,1,22,142,15,2023-2024,premier-league
jack cork,burnley,MF,1989,4,0,27,0,0,0,0,4,4,1,2023-2024,premier-league
maxwel cornet,west ham,"MF,FW",1996,7,1,112,1,0,0,0,3,2,8,2023-2024,premier-league
vladimir coufal,west ham,DF,1992,36,36,3132,0,7,7,1,68,119,126,2023-2024,premier-league
philippe coutinho,aston villa,"MF,FW",1992,2,0,25,0,0,0,0,5,5,2,2023-2024,premier-league
aaron cresswell,west ham,"DF,FW",1989,11,4,436,0,0,1,0,4,26,6,2023-2024,premier-league
marc cucurella,chelsea,DF,1998,21,20,1782,0,2,10,0,31,50,73,2023-2024,premier-league
josh cullen,burnley,MF,1996,25,23,2057,2,3,9,0,22,123,22,2023-2024,premier-league
matheus cunha,wolves,"FW,MF",1999,32,29,2440,12,7,9,0,107,87,139,2023-2024,premier-league
sam curtis,sheffield utd,DF,2005,1,0,28,0,0,0,0,0,1,1,2023-2024,premier-league
mahmoud dahoud,brighton,MF,1996,9,6,452,0,1,1,1,4,11,6,2023-2024,premier-league
ameen aldakhil,burnley,DF,2002,13,12,1056,1,0,1,0,7,35,9,2023-2024,premier-league
diogo dalot,manchester utd,DF,1999,36,35,3174,2,3,6,1,52,124,111,2023-2024,premier-league
mikkel damsgaard,brentford,MF,2000,23,7,842,0,2,2,0,16,61,32,2023-2024,premier-league
danilo,nottham forest,MF,2001,29,20,1792,2,2,4,0,22,82,28,2023-2024,premier-league
arnaut danjuma,everton,"MF,FW",1997,14,5,595,1,0,0,0,24,9,44,2023-2024,premier-league
jayden danns,liverpool,FW,2006,2,0,9,0,0,1,0,0,1,2,2023-2024,premier-league
josh dasilva,brentford,"DF,FW",1998,3,0,24,0,0,0,0,2,2,5,2023-2024,premier-league
david datro fofana,burnley,FW,2002,15,10,879,4,1,1,0,21,15,39,2023-2024,premier-league
ben davies,tottenham,DF,1993,17,12,1090,1,0,2,0,13,71,20,2023-2024,premier-league
tom davies,sheffield utd,MF,1998,9,2,221,0,0,2,0,3,8,3,2023-2024,premier-league
craig dawson,wolves,DF,1990,25,25,2209,1,1,7,0,1,49,4,2023-2024,premier-league
kevin de bruyne,manchester city,MF,1991,18,15,1221,4,10,2,0,47,111,133,2023-2024,premier-league
bobby de cordovareid,fulham,FW,1993,33,17,1423,6,2,4,0,35,47,95,2023-2024,premier-league
hannes delcroix,burnley,DF,1999,12,5,589,0,0,2,0,2,18,6,2023-2024,premier-league
leander dendoncker,aston villa,MF,1995,8,1,119,1,0,0,0,0,3,2,2023-2024,premier-league
moussa diaby,aston villa,"FW,MF",1999,38,25,2174,6,8,1,0,94,72,183,2023-2024,premier-league
amad diallo,manchester utd,"FW,MF",2002,9,3,390,1,1,1,0,11,10,31,2023-2024,premier-league
amadou diallo,newcastle utd,MF,2003,1,0,1,0,0,0,0,0,0,0,2023-2024,premier-league
ruben dias,manchester city,DF,1997,30,28,2559,0,0,0,0,34,173,16,2023-2024,premier-league
luis diaz,liverpool,FW,1997,37,32,2629,8,5,3,0,137,113,302,2023-2024,premier-league
eric dier,tottenham,DF,1994,4,1,201,0,0,0,0,0,3,0,2023-2024,premier-league
lucas digne,aston villa,DF,1993,33,27,2410,1,3,7,0,42,77,200,2023-2024,premier-league
issa diop,fulham,DF,1997,18,16,1424,0,0,4,1,11,66,1,2023-2024,premier-league
axel disasi,chelsea,DF,1998,31,29,2579,2,0,6,0,30,112,21,2023-2024,premier-league
ben doak,liverpool,FW,2005,1,0,14,0,0,0,0,0,0,0,2023-2024,premier-league
lewis dobbin,everton,MF,2003,12,1,232,1,0,1,0,6,3,20,2023-2024,premier-league
matt doherty,wolves,"DF,MF",1992,30,9,1150,1,0,2,0,12,31,64,2023-2024,premier-league
jeremy doku,manchester city,"FW,MF",2002,29,18,1595,3,8,3,0,218,57,295,2023-2024,premier-league
nicolas dominguez,nottham forest,"MF,FW",1998,26,19,1495,2,2,4,0,14,91,43,2023-2024,premier-league
jamie donley,tottenham,FW,2005,3,0,3,0,0,1,0,0,0,0,2023-2024,premier-league
abdoulaye doucoure,everton,"FW,MF",1993,32,32,2629,7,1,7,0,55,97,140,2023-2024,premier-league
cheick doucoure,crystal palace,MF,2000,11,11,919,0,0,2,0,9,49,5,2023-2024,premier-league
alfie doughty,luton town,DF,1999,37,34,2925,2,8,5,0,94,106,164,2023-2024,premier-league
tommy doyle,wolves,MF,2001,26,11,1222,0,0,2,0,21,81,17,2023-2024,premier-league
radu dragusin,tottenham,DF,2002,9,4,429,0,0,1,0,5,8,1,2023-2024,premier-league
martin dubravka,newcastle utd,GK,1989,23,22,1985,0,0,1,0,0,0,0,2023-2024,premier-league
paul dummett,newcastle utd,DF,1991,5,0,20,0,0,0,0,1,1,0,2023-2024,premier-league
lewis dunk,brighton,DF,1991,33,33,2869,3,1,7,1,33,152,13,2023-2024,premier-league
jader duran,aston villa,"FW,MF",2003,23,3,475,5,0,5,0,9,9,25,2023-2024,premier-league
george earthy,west ham,FW,2004,3,0,34,1,0,0,0,0,1,3,2023-2024,premier-league
ederson,manchester city,GK,1993,33,33,2785,0,0,5,0,0,4,0,2023-2024,premier-league
odsonne edouard,crystal palace,"FW,MF",1998,30,17,1555,7,0,4,0,33,36,100,2023-2024,premier-league
john egan,sheffield utd,DF,1992,6,6,482,0,0,2,0,0,5,1,2023-2024,premier-league
hjalmar ekdal,burnley,DF,1998,8,5,437,0,0,2,0,5,11,1,2023-2024,premier-league
anthony elanga,nottham forest,"FW,MF",2002,36,25,2433,5,9,1,0,98,49,196,2023-2024,premier-league
harvey elliott,liverpool,"MF,FW",2003,34,11,1352,3,6,2,0,44,128,122,2023-2024,premier-league
mohamed elneny,arsenal,MF,1992,3,0,28,0,0,0,0,1,1,0,2023-2024,premier-league
emerson,tottenham,DF,1999,22,11,1161,1,0,4,0,21,57,35,2023-2024,premier-league
julio enciso,brighton,"MF,FW",2004,12,5,475,0,2,2,0,28,21,29,2023-2024,premier-league
wataru endo,liverpool,MF,1993,29,20,1722,1,0,10,0,10,101,21,2023-2024,premier-league
christian eriksen,manchester utd,MF,1992,22,12,1141,1,2,1,0,20,68,23,2023-2024,premier-league
maxime esteve,burnley,DF,2002,16,15,1309,0,0,6,0,15,40,3,2023-2024,premier-league
pervis estupinan,brighton,DF,1998,19,15,1243,2,3,4,0,47,83,88,2023-2024,premier-league
jonny evans,manchester utd,DF,1988,23,15,1392,0,1,2,0,7,37,1,2023-2024,premier-league
eberechi eze,crystal palace,"MF,FW",1998,27,24,2055,11,4,3,0,68,93,139,2023-2024,premier-league
ukasz fabianski,west ham,GK,1985,10,7,721,0,0,0,0,0,1,0,2023-2024,premier-league
romain faivre,bournemouth,"MF,FW",1998,5,0,41,0,0,1,0,4,5,4,2023-2024,premier-league
ansu fati,brighton,"MF,FW",2002,19,3,521,2,0,2,0,16,28,50,2023-2024,premier-league
felipe,nottham forest,DF,1989,7,4,375,0,0,4,0,1,6,0,2023-2024,premier-league
evan ferguson,brighton,FW,2004,27,15,1367,6,0,1,0,13,15,62,2023-2024,premier-league
bruno fernandes,manchester utd,"MF,FW",1994,35,35,3118,10,8,9,0,86,297,182,2023-2024,premier-league
enzo fernandez,chelsea,MF,2001,28,26,2209,3,2,7,0,52,210,54,2023-2024,premier-league
john fleck,sheffield utd,"MF,DF",1991,4,1,92,0,0,1,0,2,3,0,2023-2024,premier-league
mark flekken,brentford,GK,1993,37,37,3285,0,1,3,0,0,5,0,2023-2024,premier-league
phil foden,manchester city,"FW,MF",2000,35,33,2857,19,8,2,0,93,168,269,2023-2024,premier-league
wes foderingham,sheffield utd,GK,1991,30,29,2649,0,0,2,0,0,0,0,2023-2024,premier-league
pablo fornals,west ham,"MF,FW",1996,15,4,426,0,0,0,0,4,29,27,2023-2024,premier-league
omari forson,manchester utd,FW,2004,4,1,70,0,1,0,0,1,2,2,2023-2024,premier-league
lyle foster,burnley,"FW,MF",2000,24,22,1899,5,3,0,1,55,37,104,2023-2024,premier-league
